Date,"Bitcoin"
2016-04-06,8212
2016-04-07,8289
2016-04-08,8760
2016-04-09,6351
2016-04-10,6910
2016-04-11,9268
2016-04-12,8641
2016-04-13,9055
2016-04-14,8202
2016-04-15,7162
2016-04-16,5785
2016-04-17,6340
2016-04-18,7743
2016-04-19,9076
2016-04-20,8403
2016-04-21,11381
2016-04-22,9665
2016-04-23,7170
2016-04-24,8433
2016-04-25,9045
2016-04-26,9250
2016-04-27,8777
2016-04-28,9540
2016-04-29,7765
2016-04-30,6176
2016-05-01,6593
2016-05-02,88391
2016-05-03,43326
2016-05-04,20101
2016-05-05,25386
2016-05-06,17048
2016-05-07,11166
2016-05-08,11207
2016-05-09,13087
2016-05-10,12193
2016-05-11,10845
2016-05-12,11455
2016-05-13,9489
2016-05-14,12031
2016-05-15,11799
2016-05-16,11516
2016-05-17,8974
2016-05-18,9947
2016-05-19,12168
2016-05-20,8393
2016-05-21,6660
2016-05-22,7085
2016-05-23,8706
2016-05-24,8943
2016-05-25,8226
2016-05-26,8012
2016-05-27,7843
2016-05-28,7516
2016-05-29,7165
2016-05-30,12745
2016-05-31,13783
2016-06-01,10917
2016-06-02,9668
2016-06-03,9507
2016-06-04,7824
2016-06-05,11299
2016-06-06,10305
2016-06-07,9828
2016-06-08,9526
2016-06-09,9328
2016-06-10,8527
2016-06-11,7960
2016-06-12,8817
2016-06-13,12454
2016-06-14,10859
2016-06-15,10005
2016-06-16,10618
2016-06-17,10851
2016-06-18,8859
2016-06-19,9315
2016-06-20,11896
2016-06-21,11977
2016-06-22,9837
2016-06-23,9912
2016-06-24,19135
2016-06-25,12669
2016-06-26,8292
2016-06-27,11629
2016-06-28,10003
2016-06-29,10158
2016-06-30,9599
2016-07-01,8764
2016-07-02,7717
2016-07-03,8615
2016-07-04,9364
2016-07-05,9447
2016-07-06,9129
2016-07-07,9574
2016-07-08,8771
2016-07-09,8843
2016-07-10,10305
2016-07-11,10443
2016-07-12,10146
2016-07-13,10027
2016-07-14,9109
2016-07-15,8596
2016-07-16,7157
2016-07-17,8148
2016-07-18,8920
2016-07-19,8270
2016-07-20,8357
2016-07-21,8658
2016-07-22,9800
2016-07-23,6549
2016-07-24,7274
2016-07-25,9280
2016-07-26,10095
2016-07-27,10107
2016-07-28,9118
2016-07-29,8102
2016-07-30,7619
2016-07-31,68433
2016-08-01,7849
2016-08-02,8291
2016-08-03,18927
2016-08-04,12782
2016-08-05,9473
2016-08-06,7570
2016-08-07,13610
2016-08-08,12052
2016-08-09,11249
2016-08-10,9015
2016-08-11,8400
2016-08-12,7756
2016-08-13,6851
2016-08-14,6860
2016-08-15,7890
2016-08-16,8422
2016-08-17,8694
2016-08-18,10122
2016-08-19,8392
2016-08-20,6836
2016-08-21,7330
2016-08-22,8395
2016-08-23,8897
2016-08-24,9239
2016-08-25,8900
2016-08-26,8442
2016-08-27,7126
2016-08-28,7543
2016-08-29,8722
2016-08-30,8666
2016-08-31,9172
2016-09-01,8596
2016-09-02,8115
2016-09-03,7347
2016-09-04,7896
2016-09-05,9039
2016-09-06,9374
2016-09-07,9426
2016-09-08,10042
2016-09-09,9121
2016-09-10,8218
2016-09-11,7890
2016-09-12,10175
2016-09-13,11035
2016-09-14,10442
2016-09-15,10277
2016-09-16,10414
2016-09-17,9034
2016-09-18,9227
2016-09-19,9584
2016-09-20,9873
2016-09-21,9285
2016-09-22,9903
2016-09-23,8100
2016-09-24,8840
2016-09-25,7642
2016-09-26,9531
2016-09-27,8507
2016-09-28,8127
2016-09-29,8014
2016-09-30,8491
2016-10-01,7590
2016-10-02,7652
2016-10-03,8347
2016-10-04,9345
2016-10-05,9086
2016-10-06,8649
2016-10-07,8874
2016-10-08,7025
2016-10-09,7078
2016-10-10,7981
2016-10-11,9581
2016-10-12,10134
2016-10-13,8788
2016-10-14,8502
2016-10-15,6829
2016-10-16,7378
2016-10-17,9038
2016-10-18,9037
2016-10-19,8766
2016-10-20,7861
2016-10-21,9966
2016-10-22,6727
2016-10-23,8054
2016-10-24,8868
2016-10-25,9923
2016-10-26,8501
2016-10-27,8667
2016-10-28,14518
2016-10-29,10900
2016-10-30,8571
2016-10-31,12082
2016-11-01,10272
2016-11-02,10374
2016-11-03,9857
2016-11-04,9168
2016-11-05,12204
2016-11-06,10908
2016-11-07,11614
2016-11-08,11807
2016-11-09,12959
2016-11-10,11493
2016-11-11,10046
2016-11-12,8957
2016-11-13,9805
2016-11-14,21607
2016-11-15,11771
2016-11-16,12522
2016-11-17,11377
2016-11-18,10650
2016-11-19,8894
2016-11-20,10466
2016-11-21,11120
2016-11-22,11421
2016-11-23,10960
2016-11-24,11876
2016-11-25,10238
2016-11-26,8430
2016-11-27,9523
2016-11-28,12311
2016-11-29,14544
2016-11-30,12018
2016-12-01,10921
2016-12-02,11564
2016-12-03,8544
2016-12-04,8833
2016-12-05,10512
2016-12-06,11527
2016-12-07,10847
2016-12-08,10893
2016-12-09,9588
2016-12-10,8835
2016-12-11,8676
2016-12-12,10465
2016-12-13,11745
2016-12-14,11373
2016-12-15,10924
2016-12-16,10416
2016-12-17,8770
2016-12-18,9127
2016-12-19,11821
2016-12-20,11646
2016-12-21,12246
2016-12-22,13374
2016-12-23,14116
2016-12-24,11547
2016-12-25,10882
2016-12-26,12433
2016-12-27,13454
2016-12-28,14314
2016-12-29,15813
2016-12-30,16270
2016-12-31,10295
2017-01-01,9554
2017-01-02,22579
2017-01-03,25183
2017-01-04,22281
2017-01-05,24655
2017-01-06,21964
2017-01-07,17362
2017-01-08,16490
2017-01-09,17720
2017-01-10,16258
2017-01-11,17559
2017-01-12,18224
2017-01-13,16546
2017-01-14,15220
2017-01-15,12144
2017-01-16,13679
2017-01-17,16112
2017-01-18,14637
2017-01-19,14435
2017-01-20,11860
2017-01-21,10255
2017-01-22,11029
2017-01-23,14272
2017-01-24,13062
2017-01-25,12050
2017-01-26,11932
2017-01-27,11747
2017-01-28,12571
2017-01-29,11690
2017-01-30,14073
2017-01-31,13225
2017-02-01,13278
2017-02-02,13524
2017-02-03,12876
2017-02-04,11078
2017-02-05,12070
2017-02-06,13166
2017-02-07,13554
2017-02-08,13313
2017-02-09,13381
2017-02-10,12212
2017-02-11,10009
2017-02-12,10944
2017-02-13,12472
2017-02-14,11624
2017-02-15,12330
2017-02-16,12923
2017-02-17,14331
2017-02-18,12842
2017-02-19,10644
2017-02-20,12193
2017-02-21,13870
2017-02-22,13371
2017-02-23,14046
2017-02-24,15834
2017-02-25,17751
2017-02-26,16385
2017-02-27,15063
2017-02-28,15679
2017-03-01,17507
2017-03-02,18929
2017-03-03,40347
2017-03-04,25835
2017-03-05,17862
2017-03-06,20274
2017-03-07,17149
2017-03-08,15721
2017-03-09,15556
2017-03-10,19093
2017-03-11,15958
2017-03-12,14093
2017-03-13,16417
2017-03-14,19528
2017-03-15,17689
2017-03-16,16895
2017-03-17,15663
2017-03-18,15288
2017-03-19,14669
2017-03-20,17922
2017-03-21,16453
2017-03-22,14885
2017-03-23,14546
2017-03-24,13225
2017-03-25,11334
2017-03-26,12736
2017-03-27,13370
2017-03-28,13970
2017-03-29,13533
2017-03-30,13812
2017-03-31,12980
2017-04-01,11815
2017-04-02,11420
2017-04-03,14614
2017-04-04,14537
2017-04-05,13465
2017-04-06,13169
2017-04-07,13208
2017-04-08,11200
2017-04-09,10873
2017-04-10,13166
2017-04-11,16999
2017-04-12,13871
2017-04-13,13786
2017-04-14,12174
2017-04-15,10065
2017-04-16,11044
2017-04-17,18666
2017-04-18,22995
2017-04-19,15773
2017-04-20,14703
2017-04-21,14230
2017-04-22,11143
2017-04-23,12071
2017-04-24,16047
2017-04-25,16503
2017-04-26,14681
2017-04-27,14889
2017-04-28,13791
2017-04-29,11038
2017-04-30,16195
2017-05-01,14544
2017-05-02,17143
2017-05-03,17277
2017-05-04,19238
2017-05-05,16900
2017-05-06,17793
2017-05-07,17777
2017-05-08,19666
2017-05-09,23935
2017-05-10,24385
2017-05-11,25185
2017-05-12,39626
2017-05-13,47817
2017-05-14,43113
2017-05-15,91099
2017-05-16,88685
2017-05-17,59979
2017-05-18,45865
2017-05-19,38662
2017-05-20,33314
2017-05-21,31659
2017-05-22,70929
2017-05-23,77232
2017-05-24,70266
2017-05-25,73348
2017-05-26,61597
2017-05-27,41682
2017-05-28,32640
2017-05-29,35534
2017-05-30,35423
2017-05-31,34254
2017-06-01,31694
2017-06-02,28056
2017-06-03,25776
2017-06-04,23455
2017-06-05,28797
2017-06-06,35757
2017-06-07,33834
2017-06-08,27396
2017-06-09,26320
2017-06-10,23523
2017-06-11,27303
2017-06-12,35940
2017-06-13,32860
2017-06-14,28795
2017-06-15,29145
2017-06-16,28247
2017-06-17,23079
2017-06-18,22615
2017-06-19,25447
2017-06-20,28562
2017-06-21,32491
2017-06-22,30385
2017-06-23,25673
2017-06-24,24171
2017-06-25,22222
2017-06-26,25687
2017-06-27,35577
2017-06-28,45873
2017-06-29,34271
2017-06-30,26499
2017-07-01,23015
2017-07-02,24879
2017-07-03,25546
2017-07-04,25454
2017-07-05,26835
2017-07-06,27578
2017-07-07,24291
2017-07-08,21337
2017-07-09,22075
2017-07-10,26029
2017-07-11,27965
2017-07-12,27322
2017-07-13,28320
2017-07-14,24585
2017-07-15,20377
2017-07-16,20854
2017-07-17,24527
2017-07-18,29243
2017-07-19,31101
2017-07-20,32662
2017-07-21,26503
2017-07-22,23406
2017-07-23,28733
2017-07-24,28648
2017-07-25,26829
2017-07-26,27343
2017-07-27,27907
2017-07-28,24242
2017-07-29,21545
2017-07-30,35070
2017-07-31,24947
2017-08-01,53066
2017-08-02,77020
2017-08-03,31439
2017-08-04,24554
2017-08-05,26393
2017-08-06,26523
2017-08-07,34664
2017-08-08,41798
2017-08-09,37017
2017-08-10,34824
2017-08-11,32144
2017-08-12,29789
2017-08-13,38392
2017-08-14,52910
2017-08-15,48514
2017-08-16,41717
2017-08-17,38805
2017-08-18,38499
2017-08-19,35335
2017-08-20,36346
2017-08-21,37991
2017-08-22,41910
2017-08-23,40176
2017-08-24,37747
2017-08-25,35538
2017-08-26,31638
2017-08-27,29011
2017-08-28,32545
2017-08-29,35649
2017-08-30,37497
2017-08-31,40717
2017-09-01,37745
2017-09-02,34203
2017-09-03,33920
2017-09-04,40423
2017-09-05,40049
2017-09-06,39593
2017-09-07,39771
2017-09-08,32450
2017-09-09,29221
2017-09-10,29004
2017-09-11,31487
2017-09-12,36669
2017-09-13,51285
2017-09-14,46945
2017-09-15,45844
2017-09-16,35393
2017-09-17,33829
2017-09-18,39631
2017-09-19,38494
2017-09-20,34188
2017-09-21,31065
2017-09-22,28590
2017-09-23,22355
2017-09-24,23710
2017-09-25,26521
2017-09-26,26945
2017-09-27,27887
2017-09-28,26235
2017-09-29,25139
2017-09-30,21560
2017-10-01,23638
2017-10-02,26007
2017-10-03,26996
2017-10-04,29069
2017-10-05,26853
2017-10-06,24784
2017-10-07,22487
2017-10-08,23976
2017-10-09,28288
2017-10-10,29241
2017-10-11,31418
2017-10-12,45338
2017-10-13,53804
2017-10-14,40825
2017-10-15,37131
2017-10-16,41339
2017-10-17,37203
2017-10-18,34385
2017-10-19,34379
2017-10-20,39782
2017-10-21,44661
2017-10-22,40331
2017-10-23,46345
2017-10-24,43756
2017-10-25,40927
2017-10-26,39086
2017-10-27,36708
2017-10-28,31082
2017-10-29,33836
2017-10-30,42538
2017-10-31,48178
2017-11-01,56103
2017-11-02,74790
2017-11-03,64293
2017-11-04,49914
2017-11-05,48027
2017-11-06,51778
2017-11-07,51470
2017-11-08,54912
2017-11-09,54591
2017-11-10,53492
2017-11-11,44339
2017-11-12,45229
2017-11-13,54732
2017-11-14,50079
2017-11-15,46140
2017-11-16,49047
2017-11-17,62242
2017-11-18,48910
2017-11-19,44907
2017-11-20,58371
2017-11-21,61690
2017-11-22,53155
2017-11-23,47490
2017-11-24,45720
2017-11-25,44223
2017-11-26,65803
2017-11-27,123516
2017-11-28,144286
2017-11-29,262289
2017-11-30,212459
2017-12-01,167229
2017-12-02,111343
2017-12-03,107583
2017-12-04,161367
2017-12-05,159921
2017-12-06,179109
2017-12-07,331637
2017-12-08,344686
2017-12-09,214245
2017-12-10,189621
2017-12-11,242875
2017-12-12,230521
2017-12-13,201431
2017-12-14,163855
2017-12-15,128830
2017-12-16,117337
2017-12-17,124072
2017-12-18,137631
2017-12-19,156057
2017-12-20,164499
2017-12-21,141432
2017-12-22,164227
2017-12-23,145737
2017-12-24,109871
2017-12-25,116313
2017-12-26,126930
2017-12-27,99195
2017-12-28,92296
2017-12-29,91724
2017-12-30,83250
2017-12-31,67355
2018-01-01,65416
2018-01-02,85549
2018-01-03,91452
2018-01-04,86342
2018-01-05,79232
2018-01-06,79836
2018-01-07,79013
2018-01-08,87562
2018-01-09,91854
2018-01-10,99815
2018-01-11,88028
2018-01-12,75933
2018-01-13,65514
2018-01-14,57507
2018-01-15,63876
2018-01-16,74029
2018-01-17,89187
2018-01-18,70655
2018-01-19,58273
2018-01-20,50979
2018-01-21,47043
2018-01-22,53460
2018-01-23,48401
2018-01-24,50792
2018-01-25,53599
2018-01-26,45074
2018-01-27,39103
2018-01-28,39525
2018-01-29,41255
2018-01-30,39961
2018-01-31,44012
2018-02-01,47413
2018-02-02,52986
2018-02-03,44264
2018-02-04,42910
2018-02-05,56614
2018-02-06,57917
2018-02-07,42782
2018-02-08,40473
2018-02-09,40043
2018-02-10,33655
2018-02-11,33358
2018-02-12,42788
2018-02-13,37817
2018-02-14,34123
2018-02-15,36704
2018-02-16,31048
2018-02-17,28385
2018-02-18,26705
2018-02-19,26856
2018-02-20,38980
2018-02-21,24746
2018-02-22,23720
2018-02-23,20187
2018-02-24,18489
2018-02-25,23615
2018-02-26,24751
2018-02-27,27708
2018-02-28,23812
2018-03-01,19703
2018-03-02,28651
2018-03-03,17645
2018-03-04,17668
2018-03-05,18631
2018-03-06,31665
2018-03-07,25862
2018-03-08,18247
2018-03-09,18272
2018-03-10,15591
2018-03-11,20093
2018-03-12,21664
2018-03-13,20618
2018-03-14,18965
2018-03-15,19632
2018-03-16,17650
2018-03-17,14444
2018-03-18,16792
2018-03-19,28645
2018-03-20,22021
2018-03-21,26294
2018-03-22,32044
2018-03-23,26204
2018-03-24,14517
2018-03-25,12644
2018-03-26,25896
2018-03-27,20067
2018-03-28,25001
2018-03-29,17879
2018-03-30,18396
2018-03-31,12176
2018-04-01,13807
2018-04-02,18749
2018-04-03,18075
2018-04-04,20736
2018-04-05,20691
2018-04-06,18699
2018-04-07,17621
2018-04-08,17800
2018-04-09,14955
2018-04-10,18262
2018-04-11,14757
2018-04-12,16972
2018-04-13,15121
2018-04-14,12104
2018-04-15,12138
2018-04-16,15892
2018-04-17,17430
2018-04-18,16359
2018-04-19,15434
2018-04-20,15265
2018-04-21,15777
2018-04-22,20387
2018-04-23,26439
2018-04-24,21433
2018-04-25,18712
2018-04-26,19884
2018-04-27,13783
2018-04-28,10957
2018-04-29,11142
2018-04-30,13297
2018-05-01,13367
2018-05-02,13918
2018-05-03,12766
2018-05-04,13967
2018-05-05,12000
2018-05-06,13003
2018-05-07,16273
2018-05-08,18612
2018-05-09,16114
2018-05-10,16700
2018-05-11,14754
2018-05-12,12808
2018-05-13,12482
2018-05-14,14094
2018-05-15,14494
2018-05-16,13854
2018-05-17,14659
2018-05-18,18814
2018-05-19,14822
2018-05-20,15239
2018-05-21,20752
2018-05-22,14316
2018-05-23,15441
2018-05-24,13769
2018-05-25,12635
2018-05-26,10783
2018-05-27,22272
2018-05-28,12882
2018-05-29,13007
2018-05-30,12909
2018-05-31,18963
2018-06-01,10908
2018-06-02,9256
2018-06-03,15388
2018-06-04,18471
2018-06-05,24457
2018-06-06,35908
2018-06-07,30928
2018-06-08,25142
2018-06-09,20530
2018-06-10,22054
2018-06-11,23809
2018-06-12,19973
2018-06-13,18622
2018-06-14,15097
2018-06-15,12701
2018-06-16,11288
2018-06-17,16903
2018-06-18,17193
2018-06-19,14829
2018-06-20,24720
2018-06-21,14834
2018-06-22,12597
2018-06-23,10869
2018-06-24,17123
2018-06-25,17001
2018-06-26,17085
2018-06-27,17169
2018-06-28,18577
2018-06-29,14125
2018-06-30,14229
2018-07-01,14889
2018-07-02,15949
2018-07-03,13432
2018-07-04,13193
2018-07-05,16503
2018-07-06,12334
2018-07-07,8168
2018-07-08,9076
2018-07-09,10704
2018-07-10,16183
2018-07-11,11559
2018-07-12,11139
2018-07-13,12850
2018-07-14,12085
2018-07-15,12285
2018-07-16,12738
2018-07-17,12198
2018-07-18,12885
2018-07-19,12348
2018-07-20,12218
2018-07-21,11289
2018-07-22,10931
2018-07-23,13360
2018-07-24,12821
2018-07-25,14538
2018-07-26,12561
2018-07-27,13973
2018-07-28,12436
2018-07-29,15010
2018-07-30,12769
2018-07-31,13419
2018-08-01,12804
2018-08-02,12127
2018-08-03,14465
2018-08-04,11066
2018-08-05,11327
2018-08-06,16035
2018-08-07,16708
2018-08-08,12273
2018-08-09,10302
2018-08-10,12897
2018-08-11,9699
2018-08-12,11541
2018-08-13,13664
2018-08-14,13691
2018-08-15,14295
2018-08-16,13302
2018-08-17,12333
2018-08-18,12274
2018-08-19,12762
2018-08-20,12594
2018-08-21,13082
2018-08-22,13567
2018-08-23,13000
2018-08-24,12695
2018-08-25,12273
2018-08-26,11746
2018-08-27,14017
2018-08-28,13410
2018-08-29,13519
2018-08-30,14620
2018-08-31,12449
2018-09-01,11241
2018-09-02,13102
2018-09-03,13705
2018-09-04,13342
2018-09-05,14156
2018-09-06,14088
2018-09-07,12664
2018-09-08,11549
2018-09-09,12560
2018-09-10,14374
2018-09-11,10880
2018-09-12,10741
2018-09-13,11889
2018-09-14,11699
2018-09-15,11171
2018-09-16,12184
2018-09-17,18135
2018-09-18,15263
2018-09-19,13421
2018-09-20,12915
2018-09-21,12747
2018-09-22,11768
2018-09-23,13893
2018-09-24,16198
2018-09-25,13497
2018-09-26,11888
2018-09-27,11109
2018-09-28,10102
2018-09-29,9828
2018-09-30,9861
2018-10-01,9908
2018-10-02,10702
2018-10-03,9672
2018-10-04,9361
2018-10-05,8776
2018-10-06,7699
2018-10-07,7645
2018-10-08,10673
2018-10-09,12687
2018-10-10,9488
2018-10-11,9063
2018-10-12,8846
2018-10-13,7582
2018-10-14,7860
2018-10-15,10030
2018-10-16,9497
2018-10-17,8716
2018-10-18,8855
2018-10-19,9439
2018-10-20,8003
2018-10-21,8058
2018-10-22,11136
2018-10-23,9588
2018-10-24,10140
2018-10-25,9440
2018-10-26,8798
2018-10-27,7501
2018-10-28,7981
2018-10-29,9804
2018-10-30,11438
2018-10-31,12280
2018-11-01,12175
2018-11-02,11582
2018-11-03,9899
2018-11-04,9425
2018-11-05,10250
2018-11-06,10350
2018-11-07,9657
2018-11-08,12575
2018-11-09,12319
2018-11-10,9244
2018-11-11,12704
2018-11-12,11375
2018-11-13,10957
2018-11-14,10530
2018-11-15,11302
2018-11-16,9741
2018-11-17,9209
2018-11-18,9096
2018-11-19,12711
2018-11-20,13398
2018-11-21,12924
2018-11-22,11126
2018-11-23,10881
2018-11-24,9525
2018-11-25,10776
2018-11-26,13317
2018-11-27,13557
2018-11-28,12004
2018-11-29,12139
2018-11-30,13904
2018-12-01,9536
2018-12-02,9852
2018-12-03,11454
2018-12-04,12522
2018-12-05,11530
2018-12-06,11346
2018-12-07,11338
2018-12-08,9620
2018-12-09,9739
2018-12-10,10642
2018-12-11,10253
2018-12-12,10443
2018-12-13,12133
2018-12-14,12899
2018-12-15,8117
2018-12-16,8681
2018-12-17,11485
2018-12-18,9942
2018-12-19,9503
2018-12-20,8891
2018-12-21,8657
2018-12-22,8439
2018-12-23,8644
2018-12-24,8932
2018-12-25,8628
2018-12-26,10158
2018-12-27,11005
2018-12-28,10357
2018-12-29,11028
2018-12-30,8590
2018-12-31,9274
2019-01-01,9185
2019-01-02,10582
2019-01-03,19383
2019-01-04,11683
2019-01-05,9746
2019-01-06,10195
2019-01-07,11036
2019-01-08,10505
2019-01-09,10967
2019-01-10,10846
2019-01-11,10687
2019-01-12,9350
2019-01-13,9853
2019-01-14,9565
2019-01-15,8308
2019-01-16,8099
2019-01-17,7906
2019-01-18,8506
2019-01-19,6539
2019-01-20,6521
2019-01-21,7453
2019-01-22,7464
2019-01-23,7664
2019-01-24,8975
2019-01-25,7981
2019-01-26,7659
2019-01-27,7671
2019-01-28,8200
2019-01-29,8277
2019-01-30,8699
2019-01-31,8288
2019-02-01,8423
2019-02-02,7523
2019-02-03,7115
2019-02-04,8795
2019-02-05,13112
2019-02-06,11068
2019-02-07,10044
2019-02-08,8619
2019-02-09,7622
2019-02-10,7550
2019-02-11,8698
2019-02-12,8768
2019-02-13,8609
2019-02-14,7843
2019-02-15,7745
2019-02-16,7736
2019-02-17,9614
2019-02-18,8708
2019-02-19,9364
2019-02-20,9447
2019-02-21,9252
2019-02-22,9179
2019-02-23,8345
2019-02-24,9156
2019-02-25,9391
2019-02-26,9378
2019-02-27,9019
2019-02-28,10235
2019-03-01,8776
2019-03-02,8412
2019-03-03,8300
2019-03-04,9423
2019-03-05,9665
2019-03-06,9860
2019-03-07,9305
2019-03-08,7887
2019-03-09,6979
2019-03-10,7442
2019-03-11,8181
2019-03-12,8042
2019-03-13,7677
2019-03-14,7760
2019-03-15,7172
2019-03-16,6406
2019-03-17,6720
2019-03-18,7867
2019-03-19,7869
2019-03-20,7336
2019-03-21,7123
2019-03-22,6734
2019-03-23,5945
2019-03-24,5758
2019-03-25,6367
2019-03-26,7197
2019-03-27,7225
2019-03-28,6624
2019-03-29,6338
2019-03-30,5544
2019-03-31,5939
2019-04-01,7420
2019-04-02,11522
2019-04-03,12913
2019-04-04,9567
2019-04-05,7965
2019-04-06,6749
2019-04-07,7021
2019-04-08,8391
2019-04-09,8961
2019-04-10,9237
2019-04-11,7712
2019-04-12,7126
2019-04-13,6119
2019-04-14,5690
2019-04-15,7552
2019-04-16,6701
2019-04-17,6851
2019-04-18,6781
2019-04-19,6576
2019-04-20,6704
2019-04-21,7333
2019-04-22,7119
2019-04-23,7308
2019-04-24,7607
2019-04-25,6725
2019-04-26,6605
2019-04-27,6103
